Unnamed: 0,Date,Day of Week,Is Weekday,Is Weekend,Calories Burned,Calories BMR,Steps,Distance (Km),Elevation (Ft),Resting Heart Rate,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Active Score,Cardio minutes,Cardio calories,Fat Burn minutes,Fat Burn calories,Peak minutes,Peak calories,Normal Cardio calories,Normal Cardio minutes,Sleep Efficiency,Minutes Asleep,Minutes to fall asleep,Sleep Start time,Sleep End time,Time in bed,Minutes Deep sleep,Deep sleep count,Minutes Light sleep,Light sleep count,Minutes REM sleep,REM sleep count,Minutes Awake,Minutes Awake count,% Deep sleep,% Light sleep,% REM sleep,Day Label,Active exercise,Sleep Bucket,Awake Bucket,% Awake,% Restorative sleep,Restorative sleep mins,Total Sleep Minutes,Total Activity Minutes,Total Sleep Hours,Total Activity Hours
10,2018-07-04,3,True,False,3488,1681,14012,9.56,60.96,57.0,20,711,289,43,79,2136,-1,6.0,66.43075,158.0,1039.3085,2.0,26.619,2321.80725,1247.0,90.0,333.0,0.0,2018-07-04T22:47:00.000,2018-07-05T05:20:30.000,393.0,58.0,4.0,223.0,27.0,52.0,6.0,60.0,27.0,15.0,57.0,14.0,Wed,True,23.0,5.5,14.0,29.0,110.0,333.0,411,5.55,6.85
11,2018-07-05,4,True,False,3833,1681,15603,11.62,24.38,56.0,8,634,249,36,128,2474,-1,49.0,548.37475,167.0,1105.6225,2.0,25.9185,2120.18,1201.0,97.0,394.0,0.0,2018-07-05T22:36:00.000,2018-07-06T05:58:30.000,442.0,76.0,4.0,252.0,26.0,66.0,5.0,48.0,25.0,18.0,58.0,15.0,Thu,True,23.0,6.0,9.0,33.0,142.0,394.0,413,6.566666666666666,6.883333333333334
12,2018-07-06,5,True,False,3597,1681,14251,9.93,33.53,55.0,11,605,247,46,100,2230,-1,29.0,317.093,148.0,986.0705,2.0,28.7205,2167.347,1208.0,93.0,369.0,0.0,2018-07-06T22:29:30.000,2018-07-07T06:01:30.000,452.0,67.0,3.0,249.0,34.0,53.0,8.0,83.0,36.0,15.0,56.0,12.0,Fri,True,22.5,6.5,17.0,27.0,120.0,369.0,393,6.15,6.55
13,2018-07-07,6,False,True,3109,1681,12549,7.99,9.14,57.0,3,673,208,20,87,1682,-1,12.0,126.54616,118.0,854.30332,0.0,0.0,1975.00732,1185.0,93.0,270.0,0.0,2018-07-08T04:03:00.000,2018-07-08T09:09:30.000,306.0,46.0,3.0,180.0,19.0,44.0,2.0,36.0,18.0,16.0,59.0,15.0,Sat,True,4.5,9.5,10.0,31.0,90.0,270.0,315,4.5,5.25
14,2018-07-08,7,False,True,2809,1681,9315,5.72,21.34,58.0,7,858,218,4,54,1353,-1,14.0,145.45804,56.0,417.3455,0.0,0.0,2120.34862,1265.0,91.0,437.0,0.0,2018-07-08T22:23:30.000,2018-07-09T07:05:30.000,522.0,50.0,1.0,316.0,34.0,71.0,7.0,85.0,32.0,10.0,61.0,14.0,Sun,True,22.5,7.5,15.0,24.0,121.0,437.0,276,7.283333333333333,4.6
15,2018-07-09,1,True,False,2590,1680,6542,4.15,18.29,58.0,6,624,183,15,22,1021,-1,2.0,19.26045,61.0,376.45425,0.0,0.0,2175.49701,1362.0,94.0,,0.0,2018-07-09T22:45:30.000,2018-07-10T05:33:00.000,407.0,0.0,,0.0,,0.0,,,,,,,Mon,False,23.0,6.0,,,,0.0,220,0.0,3.6666666666666665
16,2018-07-10,2,True,False,3472,1681,13762,9.21,39.62,57.0,13,732,236,23,116,2089,-1,21.0,227.17604,138.0,1014.4706,1.0,12.8414,2161.09088,1247.0,91.0,329.0,0.0,2018-07-11T00:17:00.000,2018-07-11T06:37:00.000,380.0,69.0,3.0,185.0,21.0,75.0,8.0,51.0,22.0,19.0,49.0,20.0,Tue,True,0.5,7.0,12.0,39.0,144.0,329.0,375,5.483333333333333,6.25
17,2018-07-11,3,True,False,2477,1680,6647,4.63,0.0,57.0,0,925,28,33,74,943,-1,12.0,129.10338,96.0,703.99863,0.0,0.0,611.31501,455.0,,,,,,,0.0,,0.0,,0.0,,,,,,,Wed,True,,,,,,0.0,135,0.0,2.25
18,2018-07-12,4,True,False,1680,1680,0,0.0,0.0,,0,1440,0,0,0,0,-1,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,Thu,False,,,,,,0.0,0,0.0,0.0
19,2018-07-13,5,True,False,1680,1680,0,0.0,0.0,,0,1440,0,0,0,0,-1,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,Fri,False,,,,,,0.0,0,0.0,0.0
